,text,label
0,ஆண் ஆண்மேல பெண் பெண்மேல ஈர்ப்பு இது இயற்க்கை ஹார்மோன் மாறுது நாங்க என்ன பன்ன முடியும் எங்களுக்கு உரிமை வேனும் கேக்குற நாய்களே...எனக்கு ஒரு கேள்வி வாழ வழி இல்லாம சாப்பாடு இல்லாம கல்வி இல்லாம அன்றாட பிழைக்க கஷ்டபடுபவன் யாராது எனக்கு இப்படி ஆயிடுச்சு நான் இப்படி ஓரின gay lesbian சேர்க்கை வாழ ஆசை படுறன்னு சொல்லி பாத்துருக்கிங்களா.....மூனு வேளை சாப்பாடு நல்ல உடை கல்வி தரமான வாழ்க்கை வாழரவன் தான் இப்படி போறான் அதுக்கு ஏன்டா பழிய இயற்க்கை மேல போடுரிங்க. அது எங்க வயிறு ரொம்பன அப்பரம் வயித்துக்கு கீழ ரொம்பர குண்டி கொழுப்பு சொல்லுங்க......இயற்க்கை ஹார்மோன் மாற்றம் உனக்கு வருது ஏன் அந்த ஏழ்மை க்கு வரல.ஒரு வேளை இயற்க்கையும் பாகுபாடு பாக்குதோ....இந்த குண்டி கொழுப்பு கருமத்துக்கு போராட்டம் சட்டம் வேற.,Hate-Speech
1,ரொம்ப  நல்ல  குணம்  அவங்களுக்கு,Non-Hate-Speech
2,"நீதி துறை சொன்ன தீர்ப்பு தவறு . சரின்னு சொன்னவங்க எல்லோரும் அந்த வேலையை செய்வாங்க போல. ஒரினசேர்க்கை இயற்க்கைகக்கும், இறைவனுக்கும் எதிரானது.",Hate-Speech
3,நீதி பதியும் அப்படியோ,Hate-Speech
4,சமூகத்தை தவறாக வழிநடத்துகிறது இந்த படைப்பு. இயற்கை இதற்கான பதிலை விரைவில் சொல்லும்,Hate-Speech
5,திருநங்கை  எல்லாரும் நல்ல பெண்கள்....,Non-Hate-Speech
6,இயற்கைக்கு.மாற்றம்.செய்யகூடாது.,Hate-Speech
7,அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை,Non-Hate-Speech
8,Jose Morphin  தமிழில்,Non-Hate-Speech
9,அடப்பாவி உன்னோட நடிப்பு என் கண்ணுலயே தண்ணிவந்துடுச்சிடா பாவி.,Non-Hate-Speech
10,கலாச்சாரத்திற்குள்ளே மனிதனை கட்டி போட நினைக்கும் இந்ந சமூகம் மற்றவர்களின் உணர்வுகளை மதிக்காது.... I support LGBT,Non-Hate-Speech
