id,text,label
31852,தமிழக மீனவர்கள் எல்லை தாண்டி சென்று  ஈழதமிழ் மீனவர்களின் பொருளாதாரங்களை அழித்து அட்டூழியம் செய்வது அண்மைகாலங்களில் அதிகரித்துவருகிறது.,Negative
31853,"இந்திய மீனவர்கள் கடந்த பத்து வருடத்திற்குமேலாக இலங்கை கடற்பரப்புக்குள் அத்துமீறி வந்து, ஈழதமிழ் மீனவர்களின் பொருளாதாரங்களை அழித்து செல்கிறார்கள். தற்போது இலங்கை கடற்கரைவரை வந்து இந்திய மீனவர்கள் இழுவை படகில் வந்து மீன்பிடிப்பதுடன் ஈழதமிழ் மீனவர்களின் வலைகளையும் அறுத்தெறிந்து வருகிறார்கள். இரண்டு நாட்களுக்கு முன் இழுவைபடகால் மோதி இரண்டு வத்திராயன் மீனவர்களையும் கொலை செய்துள்ளார்கள். இலங்கை அரசாங்கம் அத்துமீறி இலங்கை கடல் பரப்புக்குள் வரும் மிந்தியமீனவர்கள் மீது நடவடிக்கை எடுக்காவிடில், ஈழதமிழ் மீனவர்களே, இந்திய மீனவர்கள் மீது தாக்குதல் நடந்தி அவர்களின் படகுகளை அழிக்கபோகிறோம் என் நேற்று யாழ்ப்பாணம் மற்றும் முல்லைதீவு சமாசங்களின் கூட்டத்தில் முடிவெடுக்கபட்டது.",Negative
31854,தமிழக மீனவர்களை சுற்றி வளைத்த இலங்கை மீனவர்கள் --> Who is Sri Lankans fishermen.. SriLankan Tamils or SriLankan Singhalese. So only we are seeing them as brother; not them.,Negative
31856,சோத்துக்கே இந்தியா சு×× ஊ××புற உனக்கு இவ்வளோ அதுப்பு இருக்குல்ல.,Negative
31857,Paruthithurai or point Pedro is a district in SL. Why our fishers going to SL boundary???,Negative
31858,இந்தியா கடற்படையினர் எதற்கு,Negative
31859,Good,Positive
31860,Super,Positive
31861,Indian nevy yellaam Pakistan pakkam dha irukkum pola,Negative
31863, @Dino Selva  Good..  Thats what expected. Similarly you also no need to enter into Tamil Nadu issue. It's good as well without SL Tamil issue. We lost many things in India while supporting ur issues.,Negative
31864,Border  thandi  pona  pudika  than  seivanga.,Negative
31865,ithula ennanga super?,Negative
31866,"don't you know that total cinema world is prostitute,it is currutping and defiling younger generation.it is totally unhealthy to the nation",Negative
31867,Straight forward and very matured human being.,Positive
31868,"மருத்துவர்கள் நல்ல வேலை பார்க்கிறாரா?
விவசாயிகள் நல்ல வேலை பார்க்கிறாரா?
உண்மையில் புரிதல் இல்வாத நிலையில் மனிதர்கள்...
பணத்தை தேடி ஓடும் போது பண்புகள் காணாமல் போவது காணமுடிகிறது.",Negative
31869,சினிமாவில் ஒரு ஆம்பளையும் யோக்கியன் இல்லை,Negative
31870,I'm shamed to tell few artist themselves says I'm ready for adjustment but pay me more money.. They may also give interviews.. Be aware of such artists..,Negative
31871,சினிமா னா இது தான்...  பொய் சொல்லாம போமா...,Negative
31872,Intha pillaya chinna pillaya pakrathukum ippavum remba vithyasam ituku,Negative
31873,என்னென்ன சொல்லுறான் பாலைங்க கம்பிகட்டுன கதையொல்லாம்….,Negative
31874,He is Vijay friend,Positive
31875,This will be there till this field is alive. Because many females are accepting this for their growth. This happens  not only in film field even in corporate companies.,Negative
31876,Olu vangitu chance ilaa pochu ippadi interview,Negative
31877,வெளிய சும்மா seen podrathaan builtup,Negative
31878,Panitaaalum.,Negative
31879,சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார்,Negative
31880,Everyone should be bold like her.,Positive
31881,Very good speech god bless you my sister,Positive
31882,பொம்பளை பொறுக்கி விஜய பாஸ்கர் நாயை போட்டு தள்ள வேண்டும்,Negative
31883,Ethalam engala namba soldringa?,Negative
31884,விஷால் ஒரு பொம்பள பொறுக்கி,Negative
31885,Good human being,Positive
31886,Naladhey.  Nadakum,Positive
31887,கல்யாணியின் பேச்சு நடிப்பு அனைத்தும் மிகவும் பிடிக்கும்.வாழ்த்துக்கள்....,Positive
31888,Who is she 🤔🤔,Positive
31889,"கண்மூடி திறக்கும் போது 
When I was sad / closing my eyes in tears ( to see THE MASS RAPPINGS of heroine girls in the movie industries)

கடவுள் எதிரே வந்தது போல
Like a Goddess Parvathy devi APPEARING before me 

அடடா என் கண் முன்னாடி
As a SURPRISE  👏🙏

 அவளே வந்து நின்றாளே
SHE CAME BEFORE ME / to wipe off my tears 

குடை இல்லா நேரம் பாத்து
Like without any expectations

 கொட்டி போகும் மழையை போல
Suddenly appearing & helping a dying good poor people

அழகாலே என்னை நனைத்து
With her BRAVE like DURGA devi/ she cooled me / with her mother like CARE SHOWN to OTHER GIRLS following her

 இது தான் காதல் என்றாலே
& TOLD EVERYONE / this should be / THE RIGHT WAY SHOWING / the most needed character of all seniors in her field

தெரு முனையை தாண்டும் வரையில்
In my life / before days  ...

வெறும் நாள் தான் என்று இருந்தேன்
I have never seen / any girl like her 

தேவதையை பார்த்ததும் இன்று 
After SEEING A GODESS ANGEL girl like her / today

திருநாள் என்கின்றேன்
I feeled / TODAY as my DEEPAVALI like CELEBRATION DAY 

அழகான விபத்தில் இன்று ஹையோ நான் மாட்டிக்கொண்டேன்
Luckily or A GODDESS blessingly / I felled into this meeting of her 

தப்பிக்க வழிகள் இருந்தும் வேண்டாம் என்கின்றேன்
Eventhoogh there are / so many  heroine girls in this TAMIL INDUSTRY / I saw her /AS MY BEST life partner / as a dear daughter / to PRAISE & EMBRACE

https://youtu.be/9UiTj9c3H54",Positive
31891,"Why is that play back audio of female, when there's a male host , u guys doing any gimmick according to her speech 😊😊😊 if it's so ... You are a bull shit",Negative
31892,Matured way of speaking,Positive
31893,Thalai'la Wig ha ???,Negative
31894,nee avlo worth lam illa unna paartha andha maathiri yaarukkum thonaadhu. chumma publicity kaaga pesatha,Negative
31895,Anchor is deepak,Positive
31896,movies and cinema itself is chakada..(cooum) .. once into it life itself is spoiled.. better to be away from it..many girls get into it for fame and money.. but you can study well and get good job to make money..and life will be at peace rather than adjust with producers and directors ...accordingly many who have adjusted have come to the top..,Negative
31897,"கல்யாணி நீங்கள் சொல்வது முழுக்க முழுக்க உண்மை....
இந்த மாதிரி சம்பவம் என் தோழிக்கும்.... நடந்துள்ளது..",Positive
31898,Aandal alagar in Vijay TV ..love that show😍😍😍😍,Positive
31899,This is child abuse - severe punishment warranted,Positive
31900,கல்; 65வயது அனுபவ பென் போல் பேசிகிறய் வாழ்க வளமுடன்,Positive
31901,சினிமால chance kedaikalana udane adjust panna sonanganu சொல்லவேண்டியது. இந்த முஞ்சுகு  எவண்டி chance kudupan paakura மாதிரியா இருக்கு first. Adjust panna sonnathalatha chance kedaikalanu solli scene podura. Nee solra maathiri iruntha சினிமால இருக்க எல்லா ponungalum எவன் kudavathu paduthutha vanthurukanganu சொல்லுவா போல,Negative
31902,Childish attitude da...So cute and honest..Keep it up throughout ur life,Positive
31903,"Pesuradu appuram,,mudalla panam,,,,",Negative
31904,வாழ்த்துக்கள் இறைவன் அருள் உங்கள் பக்கம்,Positive
31905,"Other than media, தமிழக அரசு அலுவலகங்கள் மற்றும் கார்ப்பரேட் நிறுவனங்களில் பெண்கள் எவரும் பாலியல் ரீதியாக நிர்பந்தபடுவதில்லை ஆனாலும் 1000ம்பெண்களில் ஒருத்தர் /இரண்டு பெண்கள் தங்களது சுய விருப்பத்திற்காக /நலத்திற்காக /பாலுணர்வு இச்சைக்காக சக ஊழியர்/அதிகாரிகளிடம் தொடர்பு வைக்கின்றனர் என்பது உண்மை.",Negative
31906,Enna solringa bro,Negative
31907,Sex இயற்கை மனித இனம் ஒரு மிருக இனம் தான்,Negative
31908,"குடும்பம் ன்னு வந்துட்டா, குழந்தை, வீடு, கணவன் இவர்களை கவனிப்பது முக்கியமாகி விடும் அதை பெண்ணால் தான் முடியும். அதே போல் ஆண், பொருளாதார தேடல், குடும்பத்தை பாதுகாத்தல் போன்றவற்றை பார்த்துக் கொள்ள வேண்டும். இவைகளிலிருந்து மாறுபட்டவர்கள் குடும்பம் அம்போ .",Negative
31909,"Ungla marakala kalyani 
Love your boldness❤️💚",Negative
31911,"UMS 
ANDA MADRI ALUNKA 
AMMA
WIFE
SISTER
KEVALAM IRUPANKA SOLURANGA",Negative
31912,Bold speech.,Positive
31914,Haha she speaking like hat to say very very discipline and self control lady prostituted this bitches should not speak like this way because she is not perfect,Negative
31915,சினிமா தொழிலில் ஐயோக்கியர்கள் அதிகம்,Negative
31916,Supr speech kalyani👌👌👌👌👌👏👏👏👏,Positive
31917,"இங்க ஒருத்தர தொட்டா நிறைய பேரு மாட்டுவாங்க சூப்பர்மா  ரொம்ப bold speech அந்த ஒரு தே..... பயல சொன்னிங்கன்னா அவன மாதிரி தே.. வேலைய பாத்தவனுங்க எல்லாம் ஒன்னு கூடி நல்லவனுங்களாட்டம்  பேட்டி கொடுப்பானுங்க ஏன்ன அவனுங்களுக்கு தான் மானம் இருக்கிற மாதிரியும் அந்த தே... பயலுங்க பேசுவானுங்க Adjustment  பண்றத்துக்கு தான் வடநாட்டு பெண்களை இந்த சினி உலகத்தில் கொண்டு வரானுங்க அதயும் இங்க இருக்கிற அவன மாதிரி எண்ணம் கொண்ட ஜென்மங்கள் ஆதரிச்சி பேசுவானுங்க . தமிழ் சினிமா உலகமே உள்ளுக்குள் நாசமா தான் இருக்கு வெளியில தான் பந்தா எல்லாம். மானம்கெட்ட பொழப்பு அது. அதனை சட்டமும் வேடிக்கை தான் பாக்குது ,",Negative
31918,Unna yaaru cinemakku kopitaa appo?? Vera velaikku poo! Chumma chance kidaikakanu Ella interview la ithey solra iva!,Negative
31919,Nice,Positive
31920,Hiii,Positive
31921,Good child actress...but now not choosing good scripts...cute face...height minus...character roles pannungha...sure you catch good name,Positive
31922,Cine industry,Positive
31925,Summa vanduthaalum..,Negative
31926,👌👌👌சூப்பர்மா  ரொம்ப bold speech   வாழ்க வளமுடன்,Negative
31927,கோடிக்கணக்கான ரூபாய் செலவு செய்து படம் எடுக்காங்க .பணம் திரும்ப வறும்னு எந்த உத்திரவாதம் இல்லை.ஒரே நாளில் பிச்சைகாறனாக மாறி விடுறாங்க.பெரிய யொக்கியமா இருக்கணும்னா நடிகயா வரவே கூடாது.,Negative
31928,Nice talk. Super👍👌,Positive
31929,Adjast panna sonna seruppa kaladdi adikkanum,Negative
31930,ப்ல்டப் ஓவர்,Negative
31931,கல்யாணி சூப்பர்மா நிச்சயம் உனக்கு பெரிய எதிர்காலம் இன்னும் இருக்கு,Positive
31932,Such a sweet child . GOD bless you kalyani,Positive
31933,Such a matured speech👏👏👏,Positive
31934,கல்யாணி மிகவும்  பண்பட்ட பேச்சு உங்களுடையது.,Positive
31935,உங்கள் மனம் திறந்த பேச்சு மிகவும் அருமை,Positive
31936,Andal azhagar serial enaku romba pidikum neenga romba nalla nadichinga,Positive
31937,"Yes , this is absolutely true ... Cinefield romba mosam adjust Pannadhaa chance ... Ennemo nirayaperu Heroins laam family girls nu ninachi paithiyam ahrukaanga 🤮",Negative
31938,Kalyami Kutty over smart and over confident 🤣🤣🤣🤣🤣🤣,Negative
31939,Amma child... dont do over marketing on you.... You are suitable for child character not for heroin.... simply dont do marketing yourself....,Negative
31940,கல்யாணி வாழ்க வளமுடன் 🙌🙌🙌🙌🙌,Positive
31941,கட்டழகி கல்யாணி ...!! டிவி பார்க்காத என்னை டிவி பார்க்க வைத்த ப்யூட்டி நீ. அந்த நெட்டையான உன் தோழமைப் . பெண் பெயர் உறவு பற்றி சொல்லுங்க. I respect regard and love him a lot..,Negative
31942,"கல்யாணி நீ சொல்றது எல்லாம் முழுக்க முழுக்க உண்மை தான். ஆனா உன் அழகையும், அறிவையும் கண்டு உன்னை ஒருதலையாக லவ் ,க்ரஷ், ஏதோ ஒரு எழவு பண்ணினவன் நான். You need not reciprocate my crush. You be yourself. I shall be myself. I have highest regard for you beauty .",Negative
31943,"REALLY GREAT 
BE STRONG 
BE HAPPY",Positive
31944,Great speech super,Positive
31945,Your right,Positive
31946,Good mam,Positive
31947,She makes honest approach without inhibition,Positive
31948,அட்ஜஸ் பண்ண சொல்லுறானுங்களே அதான் பிரச்சனையே,Negative
31949,"Ivanga kasta pattu neraya chinna chinna short films, ...ellam nadichu famous aagi periya movies ku chance keta ipdi thaan...",Negative
31950,"Sleep with benefit is what most female does.
No one likes to sleep out of pure love.
If you sleep it's for your benefit.
No need to do drama now .",Negative
31952, @Mariakkan F  but we can't say all actresses do,Negative
31953,Nee yogiyama,Negative
31954," @U Tube Boss  Iam not a Actress, so Iam yoggiyam dhaan 😂",Negative
31955, @Quinee ✍ Edits  yarku therium... 😂,Negative
31956, @U Tube Boss  ippo therinchi dhaa ena panna pora 😀😀,Negative
31958,R u seriously mad,Negative
31959,Yaar da ne 😂Next karuppu kalai..,Negative
31960,ippadi pesunaa... nee pathini airuviyaa?,Negative
31961,Super great kalyani...my attitude also the way..,Positive
31962,Why r u editing soooo much... Let kalyani speak.,Negative
31963,Not matured since earlier but behave as over matured. U was good as kid but now overacting.,Negative
31964,superb kakyani very nice and bold speech,Positive
31965,Unayma uthala ada mansatchi illadha mirugam,Negative
31966,Evryone watch Kashmir files movie excellent it is,Positive
31967,Good 😊,Positive
31968,So sweet ma,Positive
31969,You are good ma kalyani,Positive
31970,still not mature enough 😆😅😆😅,Negative
31971,Super.   Good  kannu,Positive
31972,Sema,Positive
31973,Good speech and bold speech ..still looking same school kid,Positive
31974,Charu latha my fav serial,Positive
31975,Romba azhaga Tamil pesura kalyani hat's up,Positive
31976,Am widow sister am also affected working place 😭,Negative
31977,So so so sweet and bold open speech.. Fan of chennai pattanam with prabhu deva master,Positive
31978,Antha..adjustment..panne sonne porampokku..yaaru...??oru..vela..avan..adjustment la taan poranthirupaano? culprit 😡😡🤮🤮,Negative
31979,Unakku pesa solliya kodakunum. Perumpechide nee.,Negative
31980,Unga veetla ponnunga yeppadi yo apadi than avanga,Negative
31981,Illa unna petha unga amma pathiniya? Aenaa oru nalla thaai vayuthula Caravan vaayila adutha ponna ipdi pesamaatan,Negative
31982,Innum ah indha varthai lam use pantu thiriyuringa neenga yepdi  kalyanam pannuvinga ponnu ta ketpingalo indha word ah andha varthaiku yenna eligibility by the way,Negative
31983,"Correct thaan bro...ivanga hardwork pannama straight aa big film la chance kekkurathu , avanga summa thooki koduthuruvangala",Negative
31984,I am also,Negative
31985,"Speak up sister, report to police or talk to your elders and bring them to work or take harassment in video without your face and share with top mgmt",Positive
31986,Contact father Berchmans or Mohan C Lazarus prayerline and try to visit their prayer meetings and ask for help akka  They will send people to help you hopefully,Negative
31987,Call police,Positive
31988, @For tcomedies  aprm christian aa convert aagala na apdi help pannuvangala,Negative
31989,Exactly 💯,Positive
31990,"MOHAMAD. Neega ellam tamilnadu irundu iindia irundu pesuvinga , women pesakoodathu. Unga women ellam iluthu porthutu porathala neega ellam olungana manitharkala?",Negative
31991,Unga pengal pechai dhaan poraattam enra peyaril ovviru muchandhiyilum paarkkirome! 😏,Negative
31992,Tokyo mari iruka neee😘,Negative
31993,Nice mam,Positive
31994,U r amazing,Positive
31995,Bold speech Kalyani great 👍 👏,Positive
31996,"Cinema is like that, why going to cinema?",Negative
