sample,category
கொடூரமான சமுதாயம்...!!,other
ஆழ்ந்த இரங்கல்,other
இன்னாலில்லாஹி வ இன்னா இலைஹி ராஜிஊன்,other
Rest in peace,other
Yeah! Investigate after people die. Don<sq>t make an effort to look for them and save lives. I<sq>m sure you wouldn<sq>t have been idling if it was Nirvan or Kesara Rajapakse,other
Your daughter could be the next.\nPlease raise voice against child abuse. We need to ensure a safe country for children. 💔,other
the worst possible end for a young child.\n\nThe kind of animal that the fundamentalist groups are doing has given us enough reason to wake up and open our eyes and minds..    \n\nShame !<cm>😡,other
Inna lillahi wahinna ilaihi rajihoon🤲 😢,other
Need a justice and hangout in public for brutal murdered,other
My beloved sri Lankans please take care of year loved once be in contact each and every time don<sq>t forget to notice them where they going please be alert,other
May her soul rest in peace.police not took necessary steps to  protect this kid,other
Must punish who did this \n<ht>justiceforayesah,other
ஆமாம் ஆறு வயது பெண்னை நபி திருமணம் முடித்து 9 வயதில் வயதுக்கு வந்த பிறகு சேரந்து வாழ்ந்தது 100% அழகிய முன் மாதிரி தான்  அதுல என்ன தப்பு ? நபி ஒரு ஆறு வயது பெண்னோடு நிறுத்தியது தப்பு இன்னும் 2 3 ஆறு வயது பெண்னை திருமணம் செய்திருக்க வேண்டும்  எங்க உங்க அறிவியல் சார் நாத்திகம் படி ஒரு தப்பை நிரூபிங்க பார்ப்போம் எந்த அறிவியல் நாத்திகருக்கு துணிவு உள்ளது இது பற்றி விவாதிக்க?,religion
ஆயிஷாவை திருமணம் செய்தாரா ?.... யார் வலி  யார் யார் சாட்சியாக இருந்து  திருமணம் நடந்தது ?  திருமண துவாவை ஓதியது யார் ?,religion
<ht>கொல்லப்பட்ட இந்த குழந்தையின் தகப்பன் போதைப்பொருளுக்கு அடிமையானவர் என கூறப்படுகிறது😭\n👉பிள்ளை வளர்ப்பில் கவனயீனமாக இருந்தால் பிள்ளைகளது வாழ்கை பாதிக்கப்படும் என்பதை எல்லோரும் கவனத்தில் கொள்ள வேண்டும்,other
இந்த சம்பவத்துடன் தொடர்புடையவர்கள் யாராவது இனம் காணப்பட்டால் அவர்களை சட்டத்தின் முன் நிறுத்துவதற்கு யாரும் முயற்சி செய்ய வேண்டாம் எந்தவிதமான பிற்போக்கு சிந்தனையும் இல்லாமல் அவர்களை கொன்று விடுங்கள் அதுவே எமது வருங்கால சமுதாயத்திற்கு நாம் செய்யும் மிகப்பெரும் உதவி,other
இதெல்லாம் யாரால\nபோதைப்பொருள் எப்படி நாட்டுக்கை \nவருகிறது  இதை இலங்கை ஐனாதிபதி யிடம் கேளுங்கள்,other
இலங்கையில் சட்டம் கேள்விக்குறியே!\nபணம்+அரசியல் இரண்டில் ஒண்று இருந்தால் போதும் அனைத்து அட்டூளியங்களும் செய்துவிட்டு மனிதன் தப்பித்து விடுகின்றான்.,other
ஒரு பெண் பிள்ளையின் தகப்பனாய் மிகவும் வருந்துகிறேன்...\n\nஇழந்த குடும்பத்திற்கு தெரியும் அந்த வலி!..\n\nஒன்றுமே அறியாத சிறு பிஞ்சுகள் மீது கை வைப்பவர்களின் முக்கிய அங்கங்களை உயிருடன்  இருக்கும்போதே நடு ரோட்டில் கட்டி வைத்து அறுக்கவேண்டும்....\n\nகுற்றங்களுக்கு இலங்கை <cm> இந்திய சட்டங்கள் சிறந்தது அல்ல...\n\nதலைவர் பிரபாகரனின் சட்டம் \nஅல்லது சபூதி<cm>கட்டார் போன்ற முஸ்லிம் நாடுகளின் சட்டமே சாலச்சிறந்தது...\n\nசிறுமி பாத்திமா ஆயிசாவுக்கு ஆழ்ந்த இரங்கல்கள்....\nஇறைவன் இவருக்கு நித்திய இழைப்பாற்றியை கொடுப்பார்.,other
அழகான மனிதர்கள் வாழும் இந்த உலகில் இவ்வாரான காட்டுமிராண்டிகள் வாழுகின்றார்கள் என்று நினைக்கும் போது மிகவும் வேதனையளிக்கிறது 😰😰,other
போராட்ட களத்தை திசை திருப்பும் முயற்சி......பாவம் பிள்ளை,other
கொலைகாரன்<cm> கள்வன்<cm> காமுகன்<cm> இவர்களெல்லாம் திடீரென அவதரித்த சுயம்புகளல்ல! எங்களது சமூகத்தின் வீடுகளில் தாய்மார் ஊட்டி வளர்த்த ஆண் எனும் நெடில்களே!,gender
ஆண்களை பிடிக்குதில்லையா? வெறுப்பையே வெளிக்காட்டுறிங்க.என்ன நடந்ததோ?,gender
சுவர்க்கத்தில் கேட்டதெல்லாம் கிடைக்குமாம். 72 கன்னிகள் போதாது<cm> 99 கன்னிகள் வேண்டும் எனக் கேட்டால்<cm> அல்லாஹ் 99 கன்னிகளை சப்ளை பண்ணுவாரா?,religion
புத்த மதத்தில் கடவுள் நம்பிக்கை கிடையாது. கடவுள் வழிபாடுகள் கிடையாது. மறுமை நம்பிக்கை கிடையாது. அதனால்  மறுமை விசாரணை பற்றிய அச்சம் கிடையாது. சுவர்க்கம் நரகம் பற்றிய நம்பிக்கை கிடையாது.\nஆனாலும் பௌத்தர்கள் புத்தரை வணங்குகிறார்கள். போதாதற்கு இந்துக் கடவுள்கள் எல்லோரையும் வணங்குகிறார்கள். கடவுள் நம்பிக்கை என்பது இயல்பாகவே உள்ளத்தில் உருவாகின்ற ஓர் உணர்வு. கடவுளை மறுப்பதென்பது மனித இயல்புக்குப் பொருந்தாத ஒன்றாகும். அது விதண்டாவாதம். விதண்டாவாதத்தை வாதத்தால் வெல்ல முடியாது. விதண்டாவாதிகள் எந்த சத்தியத்தையும் ஏற்றுக் கொள்ள மாட்டார்கள். அதனால் விதண்டாவாதிகளை கண்டுகொள்ளக்கூடாது.,religion
பெண்கள் மென்மையானவர்களா?,gender
பெண்களில் சிலர் மென்மையாணவர்கள்.,gender
மென்மையானர்கள்தான் ஆனால் எல்லோருமில்லை,gender
நீங்கள் என்ன மாதிரி,gender
பெண்கள் மென்மையானவர்கள் என்கிறது உண்மையோ பொய்யோ தெரியல பெண்கள் பொய்மையானவர்கள் என்கிறது 100 வீதம் உண்மை,gender
உங்கள் அனைத்து கேல்விகளுக்கும் பதில் குர்ஆனில் உல்லது சகோதரி தமிழாக்கத்தை பாருங்கள்.,gender
மென்மையானவர்கன் என்பது பலத்தை குறிப்பது அல்ல குனாதிசியத்தை குறிப்பது. இஸ்லாம் தெளிவாக சொல்லி இருக்கிறதே,gender
No... வலிமையானவர்கள்,gender
அது அவரவர் செயற்படும் முறையை வைத்தே கணிக்கப்படுகிறது.,gender
மோசமான பெண்களும் இருக்கிறார்கள்,gender
